Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17675462,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545424925""","=""9780545424929""",3,4.05,Scholastic Press,Hardcover,409,2012,2012,2020/08/03,2020/07/30,,,read,"I had an adventure reading this. I actually had a hard time getting immersed to the story especially the first few chapters where I am really confused and lowkey want to DNF the book because I really don't know what the hell is happening. Maybe I will reread this in the right time for me to understand the story even more before continuing on with the series but overall, it was fun.",,,1,0
15724396,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,"Riordan, Rick",,"=""1423160916""","=""9781423160915""",5,4.24,Disney-Hyperion Books,Hardcover,512,2015,2015,2017/12/25,2017/09/19,,,read,,,,2,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141301066""","=""9780141301068""",5,4.34,Puffin,Paperback,240,1998,1988,2020/07/31,2020/07/31,,,read,This book made me wish that i had access to read such children's books as a kid. It would've made me love reading even more.,,,1,0
13623150,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062208195""","=""9780062208194""",5,4.02,Harper,ebook,111,2012,2012,2020/07/30,2020/07/30,,,read,"aaron warner deserves rights. that's it, that's the statement.",,,1,0
10429045,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085484""","=""9780062085481""",3,3.87,Harper,Hardcover,338,2011,2011,2018/02/11,2018/02/07,,,read,,,,2,0
25883848,The Hating Game,Sally  Thorne,"Thorne, Sally",,"=""""","=""""",4,3.90,William Morrow Paperbacks,ebook,387,2016,2016,2020/07/28,2020/07/28,,,read,This book is absolutely delightful that it had me smiling in satisfaction till the end. Perfect for people looking for something easy and fluffy to read.,,,1,0
42201431,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,"Lauren, Christina",,"=""""","=""""",4,3.92,Gallery Books,Paperback,432,2019,2019,2020/07/05,2020/07/05,,,read,,,,1,0
30809786,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,"Tahir, Sabaa",,"=""0448494507""","=""9780448494500""",5,4.16,Razorbill,Hardcover,458,2018,2018,2020/03/12,2020/03/11,fav-2020-reads,fav-2020-reads (#5),read,"Oh gods that was such an intense read. I cursed, screamed and felt a lot of fierce emotions while reading this book. I can't bloody wait for the last installment.",,,1,0
43884209,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,"Hibbert, Talia",,"=""0062941208""","=""9780062941206""",5,3.82,Avon,Paperback,373,2019,2019,2020/07/22,2020/07/19,fav-2020-reads,fav-2020-reads (#4),read,,,,1,0
50027029,You Deserve Each Other,Sarah Hogle,"Hogle, Sarah",,"=""""","=""""",5,3.92,G.P. Putnam's Sons,Kindle Edition,368,2020,2020,2020/07/19,2020/07/18,fav-2020-reads,fav-2020-reads (#3),read,i thought there won't be anything superior to the 'enemies to lovers' trope but this 'lovers to enemies to lovers' trope? god tier. my romance loving ass really enjoyed this book but what really made me even like this novel is the writing. five stars well deserved and i am expecting more books to read from this author in the future.,,,1,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",5,4.10,St. Martin's Griffin,Paperback,423,2019,2019,2020/06/13,2020/06/11,fav-2020-reads,fav-2020-reads (#2),read,"Added to my favorite reads in 2020 because it was damn good. This magnificent of a prose made me feel an abundance of overwhelming emotions. I laughed a lot (and when I say a lot, I meant A LOT) , I giggled loudly that my neighbours are probably complaining about me, and I shed tears because of this goddamn book. This story has a lot of lovable characters. The representation is truly commendable and the writing is humorous and comprehensive. I love every part of this book. I thank the skies for letting me pick up this beautiful masterpiece and I thank the author for writing such an excellent book. I cannot wait to read this again.",,,1,0
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,"=""0316310409""","=""9780316310406""",5,4.36,"Little, Brown",ebook,300,2019,2019,2020/01/27,2019/05/16,fav-2020-reads,fav-2020-reads (#1),read,,,,1,0
42455873,"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,"Guillory, Jasmine",,"=""1984802208""","=""""",4,3.77,Berkley,Kindle Edition,351,2019,2019,2020/07/24,2020/07/23,,,read,,,,1,0
37584991,"The Proposal (The Wedding Date, #2)",Jasmine Guillory,"Guillory, Jasmine",,"=""0399587683""","=""9780399587689""",4,3.48,Berkley,Paperback,325,2018,2018,2020/07/23,2020/07/21,,,read,3.5 stars.,,,1,0
33815781,"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,"Guillory, Jasmine",,"=""0399587675""","=""""",4,3.58,Berkley,Kindle Edition,317,2018,2018,2020/07/22,2020/07/21,,,read,,,,1,0
51213487,If I Never Met You,Mhairi McFarlane,"McFarlane, Mhairi",,"=""006295850X""","=""9780062958501""",3,3.82,William Morrow Paperbacks,Paperback,409,2020,2020,2020/07/21,2020/07/20,,,read,,,,1,0
43801254,The Worst Best Man,Mia Sosa,"Sosa, Mia",,"=""0062909886""","=""9780062909886""",5,3.56,Avon,ebook,368,2020,2020,2020/07/20,2020/07/19,,,read,4.5 stars.,,,1,0
